method,run,seed,cost
GA,1,0,174138.91448061698
GA,2,1,176759.4804535604
GA,3,2,93645.7686972524
GA,4,3,194022.78261731451
GA,5,4,194093.48434778495
GA,6,5,173526.57903805285
GA,7,6,137820.85120344345
GA,8,7,241654.25644211518
GA,9,8,253378.41457121412
GA,10,9,143080.72549011622
GA,11,10,183034.5821180671
GA,12,11,178736.39081968056
GA,13,12,164722.08966835606
GA,14,13,170727.03560675852
GA,15,14,201854.55422554436
GA,16,15,1158503.145030678
GA,17,16,1169698.1533760282
GA,18,17,159498.23559495455
GA,19,18,145739.18972333393
GA,20,19,156909.074582471
GA,21,20,142148.90551279954
GA,22,21,96733.46168936777
GA,23,22,200240.6558241635
GA,24,23,156816.6116746196
GA,25,24,123744.12556314052
GA,26,25,157702.81822033747
GA,27,26,135320.0330561252
GA,28,27,115744.2466596327
GA,29,28,1192547.9485710638
GA,30,29,216859.4295274112
GA,31,30,181582.44971436355
GA,32,31,144971.56137682858
GA,33,32,201237.44883758784
GA,34,33,120124.47066652376
GA,35,34,1142931.8882473295
GA,36,35,142277.82538789834
GA,37,36,176996.0472928134
GA,38,37,156508.89462498808
GA,39,38,170215.25673330406
GA,40,39,196087.5106540844
GA,41,40,163787.7559349924
GA,42,41,178564.3085146143
GA,43,42,167829.9238840414
GA,44,43,118648.88602471864
GA,45,44,137917.57765598578
GA,46,45,128686.3291948597
GA,47,46,139798.72610483543
GA,48,47,1163349.2126535492
GA,49,48,140713.94255924938
GA,50,49,103827.27031621693
GA,51,50,181927.42236689056
GA,52,51,166364.67927560382
GA,53,52,123170.01446020431
GA,54,53,233504.5490280511
GA,55,54,156255.4413688859
GA,56,55,187587.48127511633
GA,57,56,199669.8328324561
GA,58,57,127914.01601331118
GA,59,58,210815.48038066283
GA,60,59,171827.30459825098
GA,61,60,112454.94737627373
GA,62,61,150021.00363269408
GA,63,62,207036.90088072434
GA,64,63,193926.40943490533
GA,65,64,179774.28611846123
GA,66,65,1171909.1904241962
GA,67,66,152146.539863997
GA,68,67,1147339.6085224524
GA,69,68,162304.02443694876
GA,70,69,142337.19857023825
GA,71,70,150875.78327908754
GA,72,71,169710.39882740143
GA,73,72,1151140.5024756796
GA,74,73,248451.06422550837
GA,75,74,166459.50885384044
GA,76,75,206523.325650384
GA,77,76,159064.44260085167
GA,78,77,128074.66638711371
GA,79,78,132241.78624363145
GA,80,79,94345.87110438767
GA,81,80,160219.55840302628
GA,82,81,140368.7335012237
GA,83,82,190414.28183026722
GA,84,83,141731.34324694582
GA,85,84,147947.47128856077
GA,86,85,121781.51128991506
GA,87,86,220424.38574763952
GA,88,87,1133652.0729775955
GA,89,88,220720.82384322802
GA,90,89,114011.30674712136
GA,91,90,1135509.0274581949
GA,92,91,150056.72047358172
GA,93,92,166690.0409809137
GA,94,93,189973.69884768466
GA,95,94,191055.97119383718
GA,96,95,1202849.5458133102
GA,97,96,191494.77536488452
GA,98,97,197028.68517993842
GA,99,98,188404.51166610443
GA,100,99,112812.33438049993
GWO,1,0,134700.35112418458
GWO,2,1,164519.76219838692
GWO,3,2,70508.76768533219
GWO,4,3,142889.14154189054
GWO,5,4,179214.81423802237
GWO,6,5,150797.5564589276
GWO,7,6,126006.20363067744
GWO,8,7,196770.9932287213
GWO,9,8,212318.629609746
GWO,10,9,133214.20203441172
GWO,11,10,147975.59433133042
GWO,12,11,382289.61554106383
GWO,13,12,136419.84272011614
GWO,14,13,154437.49815881884
GWO,15,14,163022.81958991574
GWO,16,15,141380.75819318971
GWO,17,16,2147582.658469918
GWO,18,17,338861.7729928148
GWO,19,18,1094842.4242597595
GWO,20,19,144977.9417762616
GWO,21,20,248455.7956868708
GWO,22,21,95676.49172259202
GWO,23,22,134463.71934332917
GWO,24,23,110385.80132257311
GWO,25,24,149563.4876143355
GWO,26,25,152231.38686034663
GWO,27,26,221552.07362699503
GWO,28,27,108008.58414632488
GWO,29,28,276677.5036008594
GWO,30,29,1289077.395273217
GWO,31,30,2162432.1919894153
GWO,32,31,1437946.9255064013
GWO,33,32,181252.5568016634
GWO,34,33,116274.64479245394
