t_s,mean_best,ci_lo,ci_hi
0.000000,4175017.409131,3820657.667630,4529377.150632
0.003256,2332710.867632,2056539.354299,2608882.380965
0.006511,1865104.262577,1631022.108056,2099186.417097
0.009767,1629069.051120,1412554.894874,1845583.207366
0.013023,1418389.941218,1201174.707626,1635605.174809
0.016279,1237514.906463,1036294.931056,1438734.881870
0.019534,1166999.499012,969806.990487,1364192.007537
0.022790,1101466.570231,921584.043149,1281349.097314
0.026046,1066802.860424,890264.421185,1243341.299664
0.029302,1027207.935329,853800.342709,1200615.527950
0.032557,987573.503576,821101.939155,1154045.067997
0.035813,951000.334846,785407.098633,1116593.571058
0.039069,875606.066680,714217.469068,1036994.664291
0.042325,850837.601026,688565.836488,1013109.365564
0.045580,818231.268412,664668.235627,971794.301196
0.048836,803813.038105,650295.082948,957330.993263
0.052092,772192.563924,622700.996958,921684.130889
0.055348,740178.437180,592569.888352,887786.986008
0.058603,737130.681272,589457.359274,884804.003269
0.061859,724908.304902,577304.522050,872512.087755
0.065115,703292.672904,558621.690901,847963.654907
0.068371,692060.699041,547468.440625,836652.957457
0.071626,671395.907369,529671.497194,813120.317543
0.074882,660641.413993,521776.453138,799506.374847
0.078138,640728.990950,507773.851957,773684.129943
0.081394,590621.001359,470898.991685,710343.011034
0.084649,589639.267253,470193.730603,709084.803904
0.087905,570927.006524,452315.875565,689538.137482
0.091161,558713.163751,440094.564096,677331.763406
0.094417,558376.445288,439728.041040,677024.849535
0.097672,538243.026347,420438.672203,656047.380491
0.100928,528363.519413,411035.031139,645692.007688
0.104184,508663.325612,392427.865658,624898.785567
0.107439,508036.143706,391743.226413,624329.060998
0.110695,507859.695849,391552.020806,624167.370893
0.113951,487808.001386,372799.786735,602816.216037
0.117207,477735.603147,363308.461218,592162.745076
0.120462,458262.490086,345262.976316,571262.003856
0.123718,447886.247640,335490.988578,560281.506703
0.126974,427966.107628,320458.497424,535473.717832
0.130230,427936.624283,320426.777707,535446.470860
0.133485,427861.323022,320346.186791,535376.459254
0.136741,427816.270999,320309.690922,535322.851076
0.139997,402775.298081,303766.657840,501783.938323
0.143253,397941.833482,300884.116692,494999.550271
0.146508,387476.575571,291819.745574,483133.405568
0.149764,387458.734990,291802.527102,483114.942877
0.153020,387426.720175,291771.831247,483081.609103
0.156276,387384.757069,291738.537248,483030.976889
0.159531,387349.375886,291701.106698,482997.645073
0.162787,382816.148422,290039.900362,475592.396481
0.166043,377303.629859,286989.194520,467618.065198
0.169299,377286.600829,286971.853878,467601.347779
0.172554,377273.609008,286959.449921,467587.768095
0.175810,377196.952040,286901.275689,467492.628391
0.179066,377159.074752,286865.818866,467452.330639
0.182322,368031.289092,279309.173741,456753.404443
0.185577,367494.146396,278754.544435,456233.748357
0.188833,367306.741737,278560.355247,456053.128227
0.192089,367150.311418,278401.575875,455899.046961
0.195345,367044.409838,278289.269720,455799.549956
0.198600,367034.532015,278280.688520,455788.375511
0.201856,367019.891307,278265.372264,455774.410349
0.205112,366983.072053,278232.093931,455734.050175
0.208367,366971.027801,278223.750497,455718.305106
0.211623,356952.078203,269673.518987,444230.637419
0.214879,356925.289163,269647.234548,444203.343778
0.218135,356902.469877,269630.399016,444174.540738
0.221390,356884.116525,269616.038044,444152.195007
0.224646,356860.310386,269592.342576,444128.278196
0.227902,356843.297374,269579.180599,444107.414150
0.231158,356828.869652,269564.428753,444093.310551
0.234413,346848.992727,261162.934632,432535.050822
0.237669,346811.106406,261123.072201,432499.140610
0.240925,346796.265192,261111.257166,432481.273217
0.244181,346786.629564,261101.807253,432471.451874
0.247436,346771.074640,261086.148079,432456.001200
0.250692,346758.081463,261075.571662,432440.591264
0.253948,346741.116090,261059.050097,432423.182083
0.257204,346730.020417,261050.797724,432409.243110
