t_s,mean_best,ci_lo,ci_hi
0.000000,4507603.477782,4147904.504505,4867302.451059
0.001625,2723700.628954,2434942.321854,3012458.936055
0.003250,2371310.787247,2092459.656192,2650161.918303
0.004874,2215355.778190,1958879.350072,2471832.206307
0.006499,2135207.631949,1900456.545081,2369958.718818
0.008124,2097783.361179,1864874.109147,2330692.613210
0.009749,2085873.980134,1853908.902754,2317839.057515
0.011373,2066518.724394,1838541.515693,2294495.933095
0.012998,2006275.786262,1777115.658493,2235435.914031
0.014623,1981833.750490,1757901.861363,2205765.639616
0.016248,1960824.645059,1737810.357328,2183838.932791
0.017873,1954031.658558,1730865.852487,2177197.464630
0.019497,1949645.823151,1726253.572236,2173038.074066
0.021122,1923425.851887,1701533.937524,2145317.766251
0.022747,1886414.618481,1666225.328214,2106603.908748
0.024372,1866422.140436,1646766.705256,2086077.575615
0.025997,1844472.413744,1626560.799123,2062384.028364
0.027621,1812787.463078,1591612.745156,2033962.181000
0.029246,1788034.603187,1569796.412234,2006272.794140
0.030871,1755226.668385,1539774.721635,1970678.615136
0.032496,1711214.471532,1495682.471371,1926746.471694
0.034120,1701882.342039,1488411.396622,1915353.287455
0.035745,1689379.639592,1477304.022303,1901455.256881
0.037370,1679279.786864,1467462.344827,1891097.228900
0.038995,1668836.904128,1465524.562083,1872149.246173
0.040620,1654112.883817,1449188.763951,1859037.003683
0.042244,1644632.764971,1439881.311708,1849384.218235
0.043869,1642521.807261,1437843.866367,1847199.748155
0.045494,1641387.835282,1436908.774905,1845866.895659
0.047119,1622729.566666,1419888.851071,1825570.282261
0.048744,1622726.576108,1419885.706127,1825567.446090
0.050368,1612208.608194,1409915.007675,1814502.208713
0.051993,1609570.106901,1408234.013215,1810906.200587
0.053618,1594584.211820,1392537.204402,1796631.219239
0.055243,1589189.484066,1386563.997598,1791814.970534
0.056867,1576414.640740,1373984.120035,1778845.161445
0.058492,1536176.970118,1330259.656379,1742094.283857
0.060117,1525991.991245,1320531.579002,1731452.403487
0.061742,1507997.828797,1302929.601680,1713066.055915
0.063367,1483189.634403,1278172.533070,1688206.735736
0.064991,1482218.389417,1277314.542457,1687122.236378
0.066616,1477729.397316,1273259.414632,1682199.380000
0.068241,1466309.283975,1264194.766309,1668423.801640
0.069866,1448019.869813,1246107.482204,1649932.257423
0.071490,1436585.037598,1235231.318918,1637938.756277
0.073115,1427381.705998,1225391.404399,1629372.007597
0.074740,1410738.663682,1210233.032088,1611244.295276
0.076365,1400162.651422,1198617.385439,1601707.917405
0.077990,1399015.002034,1197500.806943,1600529.197125
0.079614,1387738.302185,1186837.419418,1588639.184952
0.081239,1384591.656377,1183221.779861,1585961.532894
0.082864,1384317.129303,1182996.273008,1585637.985598
0.084489,1363783.976306,1162457.824561,1565110.128050
0.086114,1360880.417570,1159097.775243,1562663.059896
0.087738,1360726.452895,1158964.934073,1562487.971718
0.089363,1346931.255610,1146950.745462,1546911.765757
0.090988,1335791.794582,1136418.912235,1535164.676929
0.092613,1334505.146378,1135131.352025,1533878.940730
0.094237,1327090.420519,1127368.760386,1526812.080652
0.095862,1327090.420519,1127368.760386,1526812.080652
0.097487,1323289.864700,1124371.213614,1522208.515787
0.099112,1322197.141649,1123474.473831,1520919.809467
0.100737,1316199.127855,1119704.453591,1512693.802118
0.102361,1315728.163434,1119253.950623,1512202.376245
0.103986,1314768.024347,1118271.485146,1511264.563548
0.105611,1314406.136054,1117915.849725,1510896.422383
0.107236,1301295.590238,1103157.320705,1499433.859770
0.108861,1300226.948283,1101866.981258,1498586.915308
0.110485,1298894.277130,1100539.130318,1497249.423943
0.112110,1297715.991240,1099597.730217,1495834.252262
0.113735,1278084.286052,1080120.382610,1476048.189495
0.115360,1277939.703049,1079973.055119,1475906.350978
0.116984,1275836.666690,1078714.358086,1472958.975295
0.118609,1275836.666690,1078714.358086,1472958.975295
0.120234,1265434.843135,1067533.290928,1463336.395342
0.121859,1265434.843135,1067533.290928,1463336.395342
0.123484,1261422.437353,1064641.451726,1458203.422980
0.125108,1261059.827289,1064237.210612,1457882.443965
0.126733,1254229.176636,1056880.956359,1451577.396912
0.128358,1254229.176636,1056880.956359,1451577.396912
0.129983,1254229.176636,1056880.956359,1451577.396912
0.131608,1254229.176636,1056880.956359,1451577.396912
0.133232,1254229.176636,1056880.956359,1451577.396912
0.134857,1253931.459109,1056580.761530,1451282.156688
0.136482,1253931.459109,1056580.761530,1451282.156688
0.138107,1253931.459109,1056580.761530,1451282.156688
0.139731,1253931.459109,1056580.761530,1451282.156688
0.141356,1253931.459109,1056580.761530,1451282.156688
0.142981,1253931.459109,1056580.761530,1451282.156688
0.144606,1253931.459109,1056580.761530,1451282.156688
0.146231,1253931.459109,1056580.761530,1451282.156688
0.147855,1253931.459109,1056580.761530,1451282.156688
0.149480,1253931.459109,1056580.761530,1451282.156688
0.151105,1253931.459109,1056580.761530,1451282.156688
0.152730,1253931.459109,1056580.761530,1451282.156688
0.154354,1253931.459109,1056580.761530,1451282.156688
0.155979,1253931.459109,1056580.761530,1451282.156688
0.157604,1253931.459109,1056580.761530,1451282.156688
0.159229,1253931.459109,1056580.761530,1451282.156688
0.160854,1253931.459109,1056580.761530,1451282.156688
0.162478,1253931.459109,1056580.761530,1451282.156688
0.164103,1253931.459109,1056580.761530,1451282.156688
0.165728,1253931.459109,1056580.761530,1451282.156688
0.167353,1253931.459109,1056580.761530,1451282.156688
0.168978,1253931.459109,1056580.761530,1451282.156688
0.170602,1253931.459109,1056580.761530,1451282.156688
0.172227,1253931.459109,1056580.761530,1451282.156688
0.173852,1253931.459109,1056580.761530,1451282.156688
0.175477,1253931.459109,1056580.761530,1451282.156688
0.177101,1253931.459109,1056580.761530,1451282.156688
0.178726,1253931.459109,1056580.761530,1451282.156688
0.180351,1253931.459109,1056580.761530,1451282.156688
0.181976,1253931.459109,1056580.761530,1451282.156688
0.183601,1253931.459109,1056580.761530,1451282.156688
0.185225,1253931.459109,1056580.761530,1451282.156688
0.186850,1253931.459109,1056580.761530,1451282.156688
0.188475,1253931.459109,1056580.761530,1451282.156688
0.190100,1253931.459109,1056580.761530,1451282.156688
0.191725,1253931.459109,1056580.761530,1451282.156688
0.193349,1253931.459109,1056580.761530,1451282.156688
