t_s,mean_best,ci_lo,ci_hi
0.000000,4298285.598218,3933390.066866,4663181.129569
0.003476,2239853.643301,1988924.452314,2490782.834288
0.006953,2054977.988152,1809624.325956,2300331.650349
0.010429,1784304.281135,1551341.548699,2017267.013571
0.013905,1185406.771168,958846.560082,1411966.982253
0.017382,811720.655868,643193.466583,980247.845154
0.020858,623937.880496,478637.587062,769238.173930
0.024334,541925.266064,409568.755428,674281.776700
0.027811,478816.033092,361071.411532,596560.654652
0.031287,443008.542934,334377.519431,551639.566437
0.034763,415419.789040,309006.611742,521832.966337
0.038240,387586.130903,289774.386658,485397.875148
0.041716,362835.448656,277752.644662,447918.252649
0.045192,350473.699061,267437.833580,433509.564541
0.048669,347416.250104,265261.632075,429570.868132
0.052145,336239.043730,255645.326990,416832.760470
0.055621,334380.446128,253956.476000,414804.416256
0.059098,333503.619478,253116.958734,413890.280221
0.062574,331637.909003,251439.457032,411836.360974
0.066050,330705.252568,250488.481976,410922.023160
0.069527,330335.080340,250101.256355,410568.904325
0.073003,319323.849688,245736.749465,392910.949911
0.076479,318605.624338,245013.921793,392197.326883
0.079956,317992.982450,244352.740643,391633.224257
0.083432,317529.077612,243854.233827,391203.921397
0.086909,317378.828911,243696.473403,391061.184419
0.090385,317190.177160,243505.089807,390875.264513
0.093861,317081.011556,243403.124182,390758.898930
0.097338,317003.502555,243324.987894,390682.017217
0.100814,307102.071898,234960.863702,379243.280093
0.104290,306937.150933,234784.853649,379089.448216
0.107767,306841.969398,234681.369594,379002.569201
0.111243,306755.299972,234588.401413,378922.198532
0.114719,306711.308242,234546.505671,378876.110812
0.118196,306612.081474,234444.410704,378779.752244
0.121672,306578.329272,234409.116703,378747.541841
0.125148,306517.227997,234346.770064,378687.685930
0.128625,306444.876837,234271.403714,378618.349960
0.132101,306377.945000,234201.715380,378554.174620
0.135577,306329.805338,234156.247427,378503.363249
0.139054,306290.189692,234113.630752,378466.748632
0.142530,296255.293517,226237.002241,366273.584794
0.146006,296091.348880,226066.155458,366116.542302
0.149483,296036.926279,226010.865503,366062.987056
0.152959,295754.804736,225712.677703,365796.931769
0.156435,295713.606452,225671.405324,365755.807580
0.159912,295476.029688,225420.423860,365531.635515
0.163388,295407.665116,225350.102703,365465.227530
0.166864,295298.805573,225233.920169,365363.690977
0.170341,295275.816575,225211.418620,365340.214529
0.173817,295218.980025,225155.772002,365282.188048
0.177293,295201.069512,225137.219286,365264.919738
0.180770,295187.948288,225125.852279,365250.044298
0.184246,295165.438271,225101.861490,365229.015052
0.187722,295151.034286,225086.686932,365215.381641
0.191199,295138.164600,225074.449367,365201.879832
0.194675,295122.538141,225058.666020,365186.410263
0.198151,295105.393590,225040.738579,365170.048601
0.201628,295087.120765,225021.787492,365152.454037
0.205104,295079.290619,225013.516692,365145.064545
0.208580,295068.492374,225002.098112,365134.886635
0.212057,295058.134224,224991.176726,365125.091722
0.215533,295044.629680,224976.516985,365112.742375
0.219009,295034.099849,224965.825656,365102.374043
0.222486,295018.451791,224948.752459,365088.151122
0.225962,295008.320174,224938.305670,365078.334678
0.229438,295000.912811,224930.784241,365071.041380
0.232915,294992.726436,224923.313514,365062.139358
0.236391,294986.252816,224916.307157,365056.198475
0.239867,294975.811223,224905.304397,365046.318049
0.243344,294968.986011,224898.040502,365039.931520
0.246820,294961.800134,224890.620582,365032.979686
0.250297,294958.887940,224888.174927,365029.600952
0.253773,294951.577671,224880.252306,365022.903035
0.257249,294950.438492,224879.026369,365021.850615
0.260726,294946.984664,224875.395893,365018.573436
0.264202,294945.238477,224873.619186,365016.857768
0.267678,294942.510607,224871.763084,365013.258131
0.271155,294938.376749,224867.223618,365009.529879
0.274631,294936.299736,224865.378953,365007.220518
0.278107,294932.798901,224862.429882,365003.167920
0.281584,294931.735448,224861.815311,365001.655585
0.285060,294931.463428,224861.552500,365001.374357
0.288536,294930.420189,224860.784535,365000.055842
0.292013,294929.236952,224859.887135,364998.586769
0.295489,294926.416384,224856.797615,364996.035153
0.298965,294926.087715,224856.484030,364995.691400
0.302442,294923.755064,224853.914750,364993.595378
0.305918,294923.755064,224853.914750,364993.595378
0.309394,294923.755064,224853.914750,364993.595378
0.312871,294923.739647,224853.898389,364993.580905
0.316347,294923.395476,224853.519279,364993.271672
0.319823,294923.395476,224853.519279,364993.271672
0.323300,294923.085584,224853.190026,364992.981141
0.326776,294922.562370,224852.632006,364992.492734
0.330252,294921.353552,224851.300423,364991.406682
0.333729,294920.303040,224850.143157,364990.462923
0.337205,294920.303040,224850.143157,364990.462923
0.340681,294920.264655,224850.122400,364990.406911
0.344158,294920.264655,224850.122400,364990.406911
0.347634,294920.264655,224850.122400,364990.406911
0.351110,294920.264655,224850.122400,364990.406911
0.354587,294920.264655,224850.122400,364990.406911
0.358063,294920.264655,224850.122400,364990.406911
0.361539,294920.264655,224850.122400,364990.406911
0.365016,294920.264655,224850.122400,364990.406911
0.368492,294920.264655,224850.122400,364990.406911
0.371968,294920.264655,224850.122400,364990.406911
0.375445,294920.264655,224850.122400,364990.406911
0.378921,294920.264655,224850.122400,364990.406911
0.382397,294920.264655,224850.122400,364990.406911
0.385874,294920.264655,224850.122400,364990.406911
0.389350,294920.264655,224850.122400,364990.406911
0.392826,294920.264655,224850.122400,364990.406911
0.396303,294919.836043,224849.650215,364990.021871
0.399779,294919.836043,224849.650215,364990.021871
0.403255,294919.721009,224849.523485,364989.918534
0.406732,294919.721009,224849.523485,364989.918534
0.410208,294919.721009,224849.523485,364989.918534
0.413684,294919.721009,224849.523485,364989.918534
