t_s,mean_best,ci_lo,ci_hi
0.000000,4295179.159097,3904804.439944,4685553.878250
0.003418,2255919.523850,2015923.032660,2495916.015039
0.006836,1723738.556125,1509075.323141,1938401.789109
0.010253,1478081.863483,1274097.403885,1682066.323082
0.013671,1269398.699930,1074494.727497,1464302.672363
0.017089,1134828.972911,951983.216336,1317674.729485
0.020507,1014294.165347,838484.939638,1190103.391056
0.023925,845081.617540,705045.374072,985117.861009
0.027343,729766.363799,594563.535213,864969.192384
0.030760,664961.700246,546241.313377,783682.087115
0.034178,587833.998821,478943.737957,696724.259684
0.037596,522528.653521,422413.981011,622643.326032
0.041014,478982.237543,384431.828113,573532.646973
0.044432,441115.333370,349176.325041,533054.341699
0.047849,416310.267849,326406.805010,506213.730688
0.051267,410425.677188,320961.295312,499890.059065
0.054685,405988.323873,316287.916188,495688.731558
0.058103,401581.138488,312352.988580,490809.288397
0.061521,385429.568891,297847.757283,473011.380498
0.064938,382619.395968,295206.783575,470032.008360
0.068356,370231.489782,288703.829367,451759.150197
0.071774,351573.200270,277622.040268,425524.360272
0.075192,344951.650627,272166.243606,417737.057648
0.078610,338695.517833,266439.431792,410951.603873
0.082028,335418.544840,263660.008809,407177.080870
0.085445,324785.422250,254798.763477,394772.081023
0.088863,311810.245555,245016.125308,378604.365803
0.092281,273332.426085,218299.033348,328365.818821
0.095699,269522.781889,214519.203875,324526.359903
0.099117,252794.316850,204035.458508,301553.175191
0.102534,232897.482426,192238.368139,273556.596713
0.105952,231815.640381,191455.300371,272175.980391
0.109370,229598.974561,189339.250046,269858.699077
0.112788,225346.729099,185511.001901,265182.456297
0.116206,224856.009225,185011.047289,264700.971161
0.119623,221944.390626,182385.796664,261502.984589
0.123041,213662.152489,181958.494619,245365.810358
0.126459,209095.381777,179198.270013,238992.493540
0.129877,208299.972529,178492.264615,238107.680443
0.133295,206337.077700,177074.058544,235600.096855
0.136713,195183.435081,172824.207335,217542.662826
0.140130,194363.224196,172088.630056,216637.818336
0.143548,193964.788930,171690.903702,216238.674158
0.146966,183259.414084,173889.985985,192628.842182
0.150384,182031.910460,173095.366856,190968.454063
0.153802,181186.433026,172418.872063,189953.993990
0.157219,180376.205370,171722.729965,189029.680774
0.160637,178994.900452,170581.572309,187408.228594
0.164055,178699.898722,170346.826333,187052.971111
0.167473,178057.966217,169835.399558,186280.532877
0.170891,177903.379923,169667.461752,186139.298094
0.174308,177571.015863,169364.475125,185777.556601
0.177726,177426.305270,169235.773809,185616.836731
0.181144,177029.517330,168871.434488,185187.600171
0.184562,176967.097565,168808.232665,185125.962465
0.187980,176462.211452,168449.971660,184474.451244
0.191398,176196.394885,168226.841621,184165.948150
0.194815,176099.505639,168132.622782,184066.388496
0.198233,175525.791956,167635.999301,183415.584611
0.201651,175487.585659,167609.331326,183365.839992
0.205069,175174.269144,167310.189575,183038.348713
0.208487,174781.207466,166956.632831,182605.782102
0.211904,174584.748136,166762.766652,182406.729620
0.215322,174531.293001,166709.293623,182353.292379
0.218740,174361.537106,166542.981592,182180.092620
0.222158,173988.981235,166207.774778,181770.187692
0.225576,173822.389389,166087.533331,181557.245446
0.228993,173714.963582,165974.123959,181455.803206
0.232411,173643.644705,165901.231398,181386.058012
0.235829,173569.907921,165851.283703,181288.532139
0.239247,173471.861298,165744.034154,181199.688442
0.242665,172904.016474,165267.534280,180540.498667
0.246083,172653.987609,165054.464955,180253.510263
0.249500,172229.641080,164728.345724,179730.936437
0.252918,171595.406542,164170.569804,179020.243279
0.256336,171217.906237,163843.464434,178592.348039
0.259754,170849.756621,163495.607339,178203.905902
0.263172,170666.382285,163314.299774,178018.464795
0.266589,170434.897332,163058.509371,177811.285292
0.270007,169030.225865,162033.367187,176027.084543
0.273425,168811.642336,161798.501268,175824.783404
0.276843,168752.236614,161739.150852,175765.322376
0.280261,168517.104880,161474.994012,175559.215749
0.283678,168503.262832,161462.555311,175543.970353
0.287096,168489.381937,161447.536857,175531.227017
0.290514,168464.207363,161419.158289,175509.256436
0.293932,168460.118701,161415.770486,175504.466916
0.297350,168438.617259,161391.910265,175485.324254
0.300768,168436.818189,161390.079248,175483.557131
0.304185,168432.669802,161386.068639,175479.270966
0.307603,168395.487800,161342.083787,175448.891814
0.311021,168244.639402,161181.282100,175307.996704
0.314439,168242.956533,161179.368223,175306.544844
0.317857,168193.537089,161129.823582,175257.250596
0.321274,168180.857705,161116.910932,175244.804478
0.324692,168177.905992,161112.596065,175243.215919
0.328110,168176.593440,161111.475051,175241.711828
0.331528,168166.484020,161102.304151,175230.663888
0.334946,168166.484020,161102.304151,175230.663888
0.338363,168166.484020,161102.304151,175230.663888
0.341781,168166.484020,161102.304151,175230.663888
0.345199,168163.926093,161099.974990,175227.877196
0.348617,168155.590693,161092.360664,175218.820723
0.352035,168155.590693,161092.360664,175218.820723
0.355453,168153.479874,161089.964135,175216.995614
0.358870,168120.319293,161052.001946,175188.636641
0.362288,168107.218376,161036.841926,175177.594825
0.365706,168107.218376,161036.841926,175177.594825
0.369124,168107.218376,161036.841926,175177.594825
0.372542,168107.218376,161036.841926,175177.594825
0.375959,168100.261059,161030.196121,175170.325997
0.379377,168086.645627,161017.115009,175156.176245
0.382795,168086.645627,161017.115009,175156.176245
0.386213,168080.197292,161010.884944,175149.509641
0.389631,168080.197292,161010.884944,175149.509641
0.393048,168080.197292,161010.884944,175149.509641
0.396466,168080.197292,161010.884944,175149.509641
0.399884,168080.197292,161010.884944,175149.509641
0.403302,168080.197292,161010.884944,175149.509641
0.406720,168080.197292,161010.884944,175149.509641
