t_s,mean_best,ci_lo,ci_hi
0.000000,4312895.628472,3947085.604462,4678705.652482
0.005754,2124850.089050,1887336.337224,2362363.840876
0.011508,1893934.417020,1654915.434734,2132953.399306
0.017261,1735150.770469,1508106.356377,1962195.184561
0.023015,1631235.713279,1405908.954412,1856562.472146
0.028769,1494108.153885,1271742.702423,1716473.605346
0.034523,1405779.246983,1186490.751942,1625067.742025
0.040277,1355820.797869,1144763.940712,1566877.655026
0.046031,1285629.412843,1081673.670473,1489585.155214
0.051784,1186435.966568,994778.533543,1378093.399592
0.057538,1101040.438953,909932.419782,1292148.458125
0.063292,1038562.364038,855133.217029,1221991.511047
0.069046,1001741.088148,823861.811610,1179620.364687
0.074800,963767.034296,787209.487252,1140324.581341
0.080553,927212.162426,750336.870747,1104087.454104
0.086307,891633.492634,718058.235490,1065208.749777
0.092061,865193.551252,698061.307172,1032325.795332
0.097815,834799.717795,671915.872764,997683.562826
0.103569,799670.406005,640463.142336,958877.669675
0.109323,734861.029823,587445.466424,882276.593222
0.115076,689259.970190,548765.701844,829754.238537
0.120830,682402.689347,542942.511628,821862.867066
0.126584,648148.532538,509852.496989,786444.568088
0.132338,617501.272122,482448.999264,752553.544981
0.138092,613268.294998,478289.074264,748247.515731
0.143845,607564.101589,472975.056734,742153.146445
0.149599,600699.008023,465855.591414,735542.424632
0.155353,580756.258665,447250.528295,714261.989034
0.161107,558017.532124,432940.376003,683094.688246
0.166861,529828.176645,409728.497909,649927.855380
0.172614,487159.649522,379269.228028,595050.071017
0.178368,457796.849908,359857.606235,555736.093582
0.184122,455957.136852,358273.833457,553640.440246
0.189876,427188.079210,333554.461422,520821.696999
0.195630,421789.028091,328503.956428,515074.099753
0.201384,394406.746435,306711.702428,482101.790443
0.207137,392757.993226,304953.655544,480562.330909
0.212891,361004.095377,282590.998777,439417.191977
0.218645,359193.801533,280683.534075,437704.068991
0.224399,355945.032279,277476.566930,434413.497629
0.230153,355456.100457,276952.472320,433959.728593
0.235906,345070.538580,268395.113381,421745.963778
0.241660,333899.306301,259746.618316,408051.994286
0.247414,332169.255716,257944.518133,406393.993299
0.253168,328000.365424,253904.761445,402095.969403
0.258922,327884.438252,253783.213247,401985.663257
0.264676,326206.732674,252360.722716,400052.742632
0.270429,325597.309027,251838.285596,399356.332458
0.276183,324874.718099,251121.704084,398627.732114
0.281937,324007.561452,250514.360896,397500.762008
0.287691,312936.966482,241758.431875,384115.501090
0.293445,312694.265446,241663.989255,383724.541638
0.299198,312223.896854,241163.017189,383284.776519
0.304952,301425.428900,232426.031753,370424.826047
0.310706,290456.539572,223755.646528,357157.432615
0.316460,290205.300762,223491.998347,356918.603176
0.322214,289949.040247,223225.530838,356672.549657
0.327968,289587.302862,222849.988380,356324.617344
0.333721,279623.677314,215310.373775,343936.980853
0.339475,279010.488511,214662.183030,343358.793992
0.345229,276669.141158,213399.748431,339938.533885
0.350983,271690.879181,209627.947312,333753.811049
0.356737,269408.764847,207558.045941,331259.483754
0.362490,269147.604725,207297.844980,330997.364471
0.368244,259087.067342,199979.985067,318194.149617
0.373998,258263.740035,199161.490987,317365.989083
0.379752,258178.712802,199073.067651,317284.357954
0.385506,257320.449718,198191.225455,316449.673980
0.391259,256952.478006,197808.171986,316096.784027
0.397013,256487.302829,197896.963025,315077.642633
0.402767,256006.477454,197491.923926,314521.030982
0.408521,255347.934394,197355.258914,313340.609874
0.414275,247100.747993,191965.326531,302236.169455
0.420029,246443.021093,191578.981253,301307.060933
0.425782,242324.731789,188216.882162,296432.581416
0.431536,241410.211695,187562.129389,295258.294001
0.437290,241297.127856,187448.678450,295145.577262
0.443044,240941.025812,187097.553399,294784.498225
0.448798,240694.740408,186876.463391,294513.017426
0.454551,240489.555489,186691.319899,294287.791080
0.460305,240365.128954,186565.630295,294164.627613
0.466059,240268.987856,186470.541329,294067.434383
0.471813,240093.310831,186301.717698,293884.903964
0.477567,239846.864046,186050.333454,293643.394638
0.483321,239690.633522,185889.503295,293491.763749
0.489074,239460.754471,185653.041395,293268.467547
0.494828,239311.697396,185498.348498,293125.046294
0.500582,239261.906050,185446.322986,293077.489115
0.506336,239259.920579,185444.284001,293075.557157
0.512090,239045.202331,185219.476545,292870.928116
0.517843,238895.498487,185063.163411,292727.833564
0.523597,238889.231402,185056.765451,292721.697353
0.529351,238344.181684,184551.387578,292136.975790
0.535105,238075.506058,184298.034950,291852.977165
0.540859,237338.815251,183591.150542,291086.479959
0.546613,237331.237190,183583.247017,291079.227364
0.552366,237116.601556,183398.819230,290834.383883
0.558120,236835.192066,183126.123326,290544.260806
0.563874,236412.498624,182753.735802,290071.261445
0.569628,236412.498624,182753.735802,290071.261445
0.575382,236412.498624,182753.735802,290071.261445
0.581135,234987.832132,181396.787551,288578.876713
0.586889,234987.832132,181396.787551,288578.876713
0.592643,234987.047349,181396.002144,288578.092554
0.598397,234987.047349,181396.002144,288578.092554
0.604151,234987.047349,181396.002144,288578.092554
0.609904,234987.047349,181396.002144,288578.092554
0.615658,234987.047349,181396.002144,288578.092554
0.621412,234864.294466,181277.949184,288450.639747
0.627166,234864.294466,181277.949184,288450.639747
0.632920,234844.058421,181257.683730,288430.433111
0.638674,234844.058421,181257.683730,288430.433111
0.644427,234844.058421,181257.683730,288430.433111
0.650181,234844.058421,181257.683730,288430.433111
0.655935,234833.830991,181247.430380,288420.231601
0.661689,234833.830991,181247.430380,288420.231601
0.667443,234833.830991,181247.430380,288420.231601
0.673196,234833.830991,181247.430380,288420.231601
0.678950,234833.830991,181247.430380,288420.231601
0.684704,234833.830991,181247.430380,288420.231601
