t_s,mean_best,ci_lo,ci_hi
0.000000,4391812.058549,4014951.840280,4768672.276819
0.000465,3725014.934019,3398158.089244,4051871.778794
0.000930,3231787.801073,2943570.934393,3520004.667752
0.001394,2881063.208910,2608190.016598,3153936.401222
0.001859,2734107.138035,2469952.969591,2998261.306478
0.002324,2612008.636506,2354318.253949,2869699.019063
0.002789,2485032.012513,2229858.085362,2740205.939665
0.003253,2365683.120624,2116809.654237,2614556.587010
0.003718,2311429.500361,2062698.071432,2560160.929289
0.004183,2276338.944609,2030095.753999,2522582.135218
0.004648,2223770.217158,1982940.090257,2464600.344059
0.005112,2166005.877709,1928539.330809,2403472.424610
0.005577,2103468.440731,1872802.827849,2334134.053613
0.006042,2067699.789585,1834419.736287,2300979.842883
0.006507,2025907.621663,1798877.743463,2252937.499862
0.006971,1978306.935623,1749673.893848,2206939.977397
0.007436,1910052.702916,1677081.687087,2143023.718746
0.007901,1856053.064036,1622064.665110,2090041.462963
0.008366,1824569.275982,1591417.452913,2057721.099051
0.008830,1784421.244791,1549778.146972,2019064.342610
0.009295,1766188.564335,1530195.915927,2002181.212743
0.009760,1735503.087425,1503503.311187,1967502.863664
0.010225,1716038.013147,1485722.467123,1946353.559170
0.010689,1703461.746816,1474478.076238,1932445.417395
0.011154,1678417.594736,1449933.269800,1906901.919672
0.011619,1618809.828758,1389772.883000,1847846.774517
0.012084,1599799.918511,1368585.227814,1831014.609209
0.012548,1547948.982918,1329064.267684,1766833.698152
0.013013,1524546.462839,1308338.403697,1740754.521981
0.013478,1501152.053832,1285435.761767,1716868.345898
0.013943,1467789.825602,1251561.880230,1684017.770973
0.014407,1444306.448392,1231694.762712,1656918.134072
0.014872,1418966.340167,1209254.410625,1628678.269710
0.015337,1412312.222406,1202967.243458,1621657.201353
0.015802,1358733.248376,1151612.103673,1565854.393078
0.016266,1328187.942843,1119410.297178,1536965.588509
0.016731,1301855.384473,1099902.055111,1503808.713836
0.017196,1294826.716291,1094553.978516,1495099.454067
0.017661,1273412.595655,1078795.867954,1468029.323355
0.018125,1254524.493824,1064395.081767,1444653.905880
0.018590,1250914.949389,1062187.455956,1439642.442823
0.019055,1248840.918804,1060344.271857,1437337.565752
0.019520,1238657.195180,1051046.775276,1426267.615085
0.019984,1238165.731596,1050563.825322,1425767.637871
0.020449,1228022.052167,1039518.531687,1416525.572648
0.020914,1215832.224192,1031191.428160,1400473.020224
0.021379,1207808.481011,1023849.522615,1391767.439408
0.021843,1207730.746324,1023804.229215,1391657.263433
0.022308,1207728.265132,1023802.268187,1391654.262077
0.022773,1207725.783939,1023800.307033,1391651.260846
0.023238,1207723.302747,1023798.345753,1391648.259742
0.023702,1207720.821555,1023796.384347,1391645.258763
0.024167,1207718.340362,1023794.422815,1391642.257910
0.024632,1207715.859170,1023792.461157,1391639.257183
0.025097,1207713.377978,1023790.499374,1391636.256582
0.025561,1207710.896785,1023788.537465,1391633.256106
0.026026,1207708.415593,1023786.575430,1391630.255757
0.026491,1207705.934401,1023784.613269,1391627.255533
0.026956,1207703.453208,1023782.650982,1391624.255435
0.027420,1207700.972016,1023780.688569,1391621.255463
0.027885,1207698.490824,1023778.726031,1391618.255617
0.028350,1207696.009632,1023776.763367,1391615.255896
0.028815,1207693.528439,1023774.800577,1391612.256302
0.029279,1207691.047247,1023772.837661,1391609.256833
0.029744,1207688.566055,1023770.874619,1391606.257490
0.030209,1207686.084862,1023768.911451,1391603.258273
0.030674,1207683.603670,1023766.948158,1391600.259182
0.031138,1207681.122478,1023764.984738,1391597.260217
0.031603,1207678.641285,1023763.021193,1391594.261377
0.032068,1207676.160093,1023761.057522,1391591.262664
0.032533,1207673.678901,1023759.093725,1391588.264076
0.032997,1207672.411517,1023758.090576,1391586.732457
0.033462,1207672.411517,1023758.090576,1391586.732457
0.033927,1207536.984138,1023650.709016,1391423.259260
0.034392,1207495.155501,1023617.466910,1391372.844093
0.034856,1207494.394239,1023616.861587,1391371.926891
0.035321,1207493.534542,1023616.177979,1391370.891105
0.035786,1207492.922858,1023615.691575,1391370.154142
0.036251,1207492.922858,1023615.691575,1391370.154142
0.036715,1207492.922858,1023615.691575,1391370.154142
0.037180,1207492.922858,1023615.691575,1391370.154142
0.037645,1207489.018994,1023612.587087,1391365.450900
0.038110,1207486.993234,1023610.976010,1391363.010459
0.038574,1207486.993234,1023610.976010,1391363.010459
0.039039,1207486.923814,1023610.920799,1391362.926829
0.039504,1207486.699016,1023610.742012,1391362.656019
0.039969,1207486.699016,1023610.742012,1391362.656019
0.040434,1207478.835485,1023604.487341,1391353.183629
0.040898,1207476.173527,1023602.369727,1391349.977328
0.041363,1207476.173527,1023602.369727,1391349.977328
0.041828,1207476.173527,1023602.369727,1391349.977328
0.042293,1207476.173527,1023602.369727,1391349.977328
0.042757,1207476.173527,1023602.369727,1391349.977328
0.043222,1207476.173527,1023602.369727,1391349.977328
0.043687,1207476.173527,1023602.369727,1391349.977328
0.044152,1207043.938880,1023256.599134,1390831.278625
0.044616,1199902.576868,1016986.584703,1382818.569033
0.045081,1197469.878720,1014609.294848,1380330.462592
0.045546,1197467.659853,1014607.070342,1380328.249363
0.046011,1197464.573613,1014603.976089,1380325.171136
0.046475,1197464.165908,1014603.567312,1380324.764505
0.046940,1197464.165908,1014603.567312,1380324.764505
0.047405,1197464.165908,1014603.567312,1380324.764505
0.047870,1197464.165908,1014603.567312,1380324.764505
0.048334,1197464.165908,1014603.567312,1380324.764505
0.048799,1197464.165908,1014603.567312,1380324.764505
0.049264,1197464.165908,1014603.567312,1380324.764505
0.049729,1197464.165908,1014603.567312,1380324.764505
0.050193,1197464.165908,1014603.567312,1380324.764505
0.050658,1197464.165908,1014603.567312,1380324.764505
0.051123,1197464.165908,1014603.567312,1380324.764505
0.051588,1197464.165908,1014603.567312,1380324.764505
0.052052,1197464.165908,1014603.567312,1380324.764505
0.052517,1197464.165908,1014603.567312,1380324.764505
0.052982,1197463.300440,1014602.699554,1380323.901327
0.053447,1197461.675744,1014601.070517,1380322.280972
0.053911,1197458.349368,1014597.735082,1380318.963653
0.054376,1197455.079999,1014594.456586,1380315.703412
0.054841,1197455.004435,1014594.380808,1380315.628062
0.055306,1197454.766581,1014594.142281,1380315.390881
