t_s,mean_best,ci_lo,ci_hi
0.000000,4271660.043899,3922082.324744,4621237.763053
0.003248,2310089.209339,2039162.910637,2581015.508040
0.006495,2007829.536136,1756423.121050,2259235.951222
0.009743,1859453.478728,1609189.283370,2109717.674086
0.012990,1785269.882685,1536885.542405,2033654.222964
0.016238,1732255.614060,1485088.884396,1979422.343724
0.019485,1671085.342529,1424663.288458,1917507.396601
0.022733,1616589.427204,1373773.966801,1859404.887607
0.025981,1589667.283926,1348840.122263,1830494.445590
0.029228,1576077.394283,1334479.071762,1817675.716804
0.032476,1561675.623694,1322567.561196,1800783.686192
0.035723,1547581.158178,1307080.622381,1788081.693976
0.038971,1533211.400169,1294934.035061,1771488.765277
0.042219,1530702.840028,1292444.693401,1768960.986656
0.045466,1527794.861654,1289575.922413,1766013.800894
0.048714,1525580.438599,1287532.891705,1763627.985493
0.051961,1523356.747627,1285330.261556,1761383.233697
0.055209,1520939.791317,1282984.942342,1758894.640291
0.058456,1517907.813531,1279904.143589,1755911.483473
0.061704,1506066.901071,1268364.822120,1743768.980022
0.064952,1493509.885942,1256332.348027,1730687.423856
0.068199,1491151.914083,1254005.717055,1728298.111110
0.071447,1488599.207946,1251385.035296,1725813.380596
0.074694,1486163.630983,1249079.278688,1723247.983279
0.077942,1484238.576453,1247173.033066,1721304.119840
0.081190,1482014.146008,1245027.624934,1719000.667082
0.084437,1466223.393971,1229152.660426,1703294.127516
0.087685,1463817.341117,1226837.508862,1700797.173373
0.090932,1451212.732442,1214814.274186,1687611.190697
0.094180,1438807.864513,1204579.215019,1673036.514008
0.097427,1437451.299626,1203169.631800,1671732.967452
0.100675,1435605.249618,1201463.377423,1669747.121813
0.103923,1433703.187456,1199650.848034,1667755.526877
0.107170,1431111.157511,1197207.226217,1665015.088804
0.110418,1429107.385814,1195372.600407,1662842.171222
0.113665,1426366.301321,1192755.296545,1659977.306098
0.116913,1423804.957348,1190313.480991,1657296.433704
0.120161,1411966.420498,1177388.254523,1646544.586472
0.123408,1400072.805071,1169553.017199,1630592.592943
0.126656,1398670.077559,1168211.925012,1629128.230106
0.129903,1396696.091811,1166189.345010,1627202.838612
0.133151,1395582.174328,1165095.985017,1626068.363640
0.136398,1394132.473570,1163703.788817,1624561.158323
0.139646,1392700.844684,1162329.387794,1623072.301575
0.142894,1391130.453643,1160824.825018,1621436.082269
0.146141,1389831.935246,1159598.854360,1620065.016132
0.149389,1388062.102927,1157888.864482,1618235.341372
0.152636,1376849.144988,1147335.529864,1606362.760111
0.155884,1375511.305694,1146157.689288,1604864.922101
0.159132,1373806.818662,1144595.061043,1603018.576281
0.162379,1372729.318380,1143551.152288,1601907.484472
0.165627,1371124.170892,1142021.439045,1600226.902740
0.168874,1370247.769317,1141221.438237,1599274.100397
0.172122,1368698.865548,1139802.057049,1597595.674047
0.175369,1367635.025784,1138746.586382,1596523.465185
0.178617,1363451.153263,1135145.239635,1591757.066890
0.181865,1362805.477907,1134534.868285,1591076.087528
0.185112,1356861.549242,1130506.224915,1583216.873570
0.188360,1345564.932596,1119864.608421,1571265.256770
0.191607,1344591.274307,1118933.284579,1570249.264034
0.194855,1343740.703411,1118071.889687,1569409.517134
0.198103,1322872.532297,1098507.635308,1547237.429287
0.201350,1322062.516081,1097761.285869,1546363.746293
0.204598,1321038.813177,1096800.110363,1545277.515990
0.207845,1320438.575308,1096293.465918,1544583.684697
0.211093,1319800.726570,1095700.143118,1543901.310022
0.214340,1319117.763348,1095018.297953,1543217.228743
0.217588,1318589.280983,1094524.446520,1542654.115446
0.220836,1318165.016356,1094112.769970,1542217.262741
0.224083,1315687.487451,1091370.371159,1540004.603743
0.227331,1315198.992852,1090866.017466,1539531.968238
0.230578,1304517.389494,1082633.350190,1526401.428798
0.233826,1303846.441715,1081998.218496,1525694.664934
0.237074,1293266.635777,1070399.494919,1516133.776635
0.240321,1292931.761579,1070087.500336,1515776.022822
0.243569,1292425.385063,1069594.926007,1515255.844118
0.246816,1291763.213768,1068918.501675,1514607.925861
0.250064,1291320.248656,1068517.093567,1514123.403745
0.253311,1280553.952698,1056861.905288,1504246.000108
0.256559,1280282.594544,1056607.492654,1503957.696435
0.259807,1279825.420349,1056163.049739,1503487.790959
0.263054,1269533.535544,1044896.344170,1494170.726917
0.266302,1262604.661995,1037525.042677,1487684.281312
0.269549,1258904.884725,1033360.667900,1484449.101549
0.272797,1258852.926074,1033307.422500,1484398.429648
0.276045,1258803.679666,1033254.559309,1484352.800024
0.279292,1258646.479571,1033091.989201,1484200.969941
0.282540,1258538.488257,1032997.922945,1484079.053569
0.285787,1258454.283346,1032917.632276,1483990.934415
0.289035,1258416.469103,1032877.343882,1483955.594324
0.292282,1258331.702902,1032814.214961,1483849.190843
0.295530,1258129.555010,1032594.775732,1483664.334288
0.298778,1258123.621007,1032588.698873,1483658.543141
0.302025,1258025.545998,1032514.024545,1483537.067452
0.305273,1258016.520397,1032504.296573,1483528.744222
0.308520,1257861.475132,1032323.950956,1483398.999307
0.311768,1257781.682004,1032231.092167,1483332.271841
0.315016,1257707.298651,1032144.661837,1483269.935465
0.318263,1257705.355082,1032142.657506,1483268.052659
0.321511,1257703.832026,1032141.109882,1483266.554169
0.324758,1257703.375374,1032140.636265,1483266.114483
0.328006,1257701.716842,1032138.843676,1483264.590008
0.331253,1257700.691204,1032137.693727,1483263.688682
0.334501,1257698.353666,1032135.246692,1483261.460641
0.337749,1257697.878782,1032134.689583,1483261.067980
0.340996,1257697.503106,1032134.306642,1483260.699571
0.344244,1257695.464376,1032132.169205,1483258.759547
0.347491,1257694.226353,1032130.872225,1483257.580481
0.350739,1257693.784128,1032130.342647,1483257.225609
0.353987,1257692.994643,1032129.523497,1483256.465789
0.357234,1257691.167561,1032127.462835,1483254.872288
0.360482,1257689.324667,1032125.515367,1483253.133967
0.363729,1257688.473958,1032124.619038,1483252.328878
0.366977,1257687.028432,1032122.956752,1483251.100113
0.370224,1257685.513173,1032121.401896,1483249.624451
0.373472,1257685.513173,1032121.401896,1483249.624451
0.376720,1257684.682817,1032120.551562,1483248.814071
0.379967,1257682.050692,1032117.856037,1483246.245348
0.383215,1257682.050692,1032117.856037,1483246.245348
0.386462,1257682.050692,1032117.856037,1483246.245348
